,key,start,finish,called_from,time
24378,"('getitem-e9b543c1702f2e410f2250b9482f58ff', 0, 0, 0)",released,waiting,tcp://10.201.3.17:33095,1713455798.6499953
24379,"('getitem-ea35bbf75623b445179cd45124aa6b3a', 0, 0, 0)",executing,memory,tcp://10.201.3.17:35547,1713455798.650011
24380,"('getitem-e9b543c1702f2e410f2250b9482f58ff', 0, 0, 0)",waiting,ready,tcp://10.201.3.17:33095,1713455798.6555817
24381,"('getitem-86d729d3eac00bc85aa8a9de281823bf', 0, 0, 0)",executing,memory,tcp://10.201.3.17:42345,1713455798.6557233
24382,"('getitem-e9b543c1702f2e410f2250b9482f58ff', 0, 0, 0)",ready,executing,tcp://10.201.3.17:33095,1713455798.66134
24383,"('getitem-53022e42cdd0fd85aadd44d0af443ab4', 0, 0, 0)",executing,memory,tcp://10.201.3.17:42345,1713455798.661606
24384,"('getitem-e4858b6ae08001b1c497d1aa98996f5f', 0, 0, 0)",executing,memory,tcp://10.201.3.17:42345,1713455798.6665316
24385,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 31, 0, 0, 0)",memory,released,tcp://10.201.3.17:33095,1713455798.6665974
24386,"('getitem-a62d7ff500033583cb03893e5221c603', 0, 0, 0)",executing,memory,tcp://10.201.3.17:42345,1713455798.671228
24387,"('getitem-a66d8812da6822d955068d60a2a1f9ff', 0, 0, 0)",released,waiting,tcp://10.201.3.17:33095,1713455798.6712375
24388,"('getitem-a66d8812da6822d955068d60a2a1f9ff', 0, 0, 0)",waiting,ready,tcp://10.201.3.17:33095,1713455798.6760356
24389,"('getitem-af703bb84cfffebc6851fa3e80d68b75', 0, 0, 0)",executing,memory,tcp://10.201.3.17:42345,1713455798.6761587
24390,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 32, 0, 0, 0)",memory,released,tcp://10.201.3.17:45521,1713455798.6773307
